insightTrafficSourceType,views,estimatedMinutesWatched,averageViewDuration,averageViewPercentage,engagedViews
NO_LINK_OTHER,2077,6647,192,24.75,2077
ADVERTISING,909,3690,243,33.71,909
SUBSCRIBER,10906,32314,177,19.7,10896
YT_CHANNEL,1788,2738,95,10.9,1721
YT_SEARCH,786,2232,187,21.04,714
RELATED_VIDEO,380320,1003836,158,19.6,380320
YT_OTHER_PAGE,12125,30076,148,17.83,12119
EXT_URL,4393,692,9,0.66,4393
PLAYLIST,291,532,109,13.819999999999999,291
NOTIFICATION,159,367,140,11.6,157
END_SCREEN,3643,21354,351,33.79,3643
SHORTS,6538,1733,31,30.44,3127
HASHTAGS,6,9,98,16.01,6
SOUND_PAGE,4,1,16,15.75,4
SHORTS_CONTENT_LINKS,6,0,8,7.429999999999999,6
